Distance,N18,N24,N16,N17,N08,N20,N28,N26,N30,N07,N99
N18,0,62,110,158,390,474,616,651,780,690,100
N24,62,0,121,171,417,510,660,702,784,691,119
N16,110,121,0,50,296,390,552,601,670,580,14
N17,158,171,50,0,249,344,512,567,623,533,58
N08,390,417,296,249,0,103,299,373,440,371,299
N20,474,510,390,344,103,0,200,281,430,382,391
N28,616,660,552,512,299,200,0,91,546,528,550
N26,651,702,601,567,373,281,91,0,634,619,597
N30,780,784,670,623,440,430,546,634,0,99,680
N07,690,691,580,533,371,382,528,619,99,0,590
N99,100,119,14,58,299,391,550,597,680,590,0
